filename,genre,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12
16.wav,pop,-238.8751678466797,127.27025604248047,-37.97389221191406,51.89480972290039,-13.782609939575195,14.940675735473633,-16.57525062561035,0.7928114533424377,0.032734766602516174,-12.76085090637207,9.790055274963379,-1.8895304203033447,-6.515140056610107
17.wav,pop,-247.1786346435547,184.70950317382812,37.14341354370117,25.35390853881836,3.418922185897827,25.504552841186523,-4.363900661468506,1.813783049583435,-3.144078016281128,-0.7258647680282593,-2.024073839187622,-2.138152837753296,-5.823263168334961
15.wav,pop,-188.47991943359375,175.90480041503906,-9.14249324798584,36.22831344604492,-1.502333641052246,27.162134170532227,-3.666517496109009,8.788808822631836,-0.5511083602905273,0.9764409065246582,-5.820590972900391,5.6240620613098145,2.4721148014068604
29.wav,pop,-223.92176818847656,187.35585021972656,-25.039817810058594,28.438974380493164,2.540235757827759,11.246341705322266,-3.0780909061431885,-3.7455332279205322,-0.5257757306098938,-9.249115943908691,-5.9677300453186035,4.406122207641602,4.482329845428467
100.wav,pop,-172.4909210205078,166.0281982421875,-36.30755615234375,54.785789489746094,7.260797023773193,18.802278518676758,-18.430723190307617,5.2394914627075195,0.6828403472900391,-6.220733642578125,3.2442188262939453,-10.503512382507324,-3.5940356254577637
28.wav,pop,-235.4122772216797,153.77931213378906,-17.64138412475586,24.799285888671875,0.2794925272464752,10.178252220153809,-7.308819770812988,5.535826683044434,-3.533503293991089,-5.2528533935546875,-4.0339813232421875,-0.411330908536911,-1.0410090684890747
14.wav,pop,-231.86044311523438,170.10203552246094,21.578001022338867,32.51295852661133,4.515195846557617,31.559263229370117,-11.039763450622559,9.068225860595703,0.09137304127216339,2.3088066577911377,-4.139175891876221,-0.13554362952709198,-9.242937088012695
38.wav,pop,-164.681396484375,173.43675231933594,-18.966567993164062,43.24700164794922,-13.787580490112305,12.419697761535645,-12.8690185546875,9.519549369812012,-15.358922004699707,0.11287693679332733,-5.639237880706787,-0.7580312490463257,-5.907682418823242
10.wav,pop,-200.66616821289062,186.0851593017578,10.936894416809082,6.681351661682129,-2.294553279876709,19.241233825683594,-10.592676162719727,9.135918617248535,-15.383275985717773,-4.339084148406982,0.18612444400787354,-2.6526620388031006,-1.9919723272323608
11.wav,pop,-217.62081909179688,123.14049530029297,-16.90761947631836,44.94382095336914,-0.8659269213676453,22.9278621673584,8.154863357543945,14.348016738891602,1.5148221254348755,7.71829891204834,3.945080518722534,5.243449687957764,0.22534410655498505
